"Category","Item","Serving_size","Calories","Cal_Fat","Total_Fat","Satur_Fat","Trans_Fat","Cholesterol","Sodium","Carbohydrates","Dietary_fiber","Sugars","Protein","Vitamin_A_DV","Vitamin_C_DV"
"Smoothies & Shakes","Mango Pineapple Smoothie (Medium)","16 fl oz cup",260,10,1,0,0,5,45,61,1,56,3,40,25
"Smoothies & Shakes","Mango Pineapple Smoothie (Large)","22 fl oz cup",340,10,1,NA,0,5,60,78,2,72,4,50,30
"Smoothies & Shakes","Vanilla Shake (Small)","12 fl oz cup",530,140,15,10,1,NA,160,86,0,63,11,20,0
"Smoothies & Shakes","Vanilla Shake (Medium)","16 fl oz cup",660,170,19,NA,1,75,200,109,0,81,NA,NA,0
"Smoothies & Shakes","Vanilla Shake (Large)","22 fl oz cup",820,210,23,15,1,90,NA,135,NA,101,18,30,0
"Smoothies & Shakes","Strawberry Shake (Small)","12 fl oz cup",550,150,16,10,1,60,160,90,0,79,12,20,0
"Smoothies & Shakes","Strawberry Shake (Medium)","16 fl oz cup",690,NA,20,13,1,75,210,114,0,100,15,25,0
"Smoothies & Shakes","Strawberry Shake (Large)","22 fl oz cup",850,210,24,15,1,90,260,NA,0,123,18,30,0
"Smoothies & Shakes","Chocolate Shake (Small)","12 fl oz cup",NA,150,16,10,1,60,240,91,1,77,NA,20,0
"Smoothies & Shakes","Chocolate Shake (Medium)","16 fl oz cup",700,180,20,12,1,75,300,114,2,NA,15,25,0
"Smoothies & Shakes","Chocolate Shake (Large)","22 fl oz cup",NA,210,23,15,1,85,380,141,2,120,19,30,0
"Smoothies & Shakes","Shamrock Shake (Medium)","16 fl oz cup",660,170,19,12,1,75,210,109,0,93,14,25,0
"Smoothies & Shakes","Shamrock Shake (Large)","22 fl oz cup",820,210,23,15,1,90,260,NA,0,115,18,30,0
"Smoothies & Shakes","McFlurry with M&M’s Candies (Small)","10.9 oz (310 g)",650,210,23,14,NA,50,180,96,1,89,NA,15,0
"Smoothies & Shakes","McFlurry with M&M’s Candies (Medium)","16.2 oz (460 g)",930,290,33,20,1,75,260,139,2,128,20,25,0
"Smoothies & Shakes","McFlurry with M&M’s Candies (Snack)","7.3 oz (207 g)",430,140,15,10,0,35,120,64,1,59,9,10,0
"Smoothies & Shakes","McFlurry with Oreo Cookies (Small)","10.1 oz (285 g)",510,NA,17,9,0.5,45,280,80,1,64,12,15,0
"Smoothies & Shakes","McFlurry with Oreo Cookies (Medium)","13.4 oz (381 g)",690,200,23,12,1,55,380,106,1,85,15,20,0
"Smoothies & Shakes","McFlurry with Oreo Cookies (Snack)","6.7 oz (190 g)",340,100,11,6,0,30,190,53,1,43,8,10,0
"Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Medium)","14.2 oz (403 g)",810,290,32,15,1,60,400,114,2,103,21,20,0
"Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Snack)","7.1 oz (202 g)",410,150,16,8,0,30,200,57,NA,51,10,10,0
